item                                           mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
migrationRateSMi2_Hubei-China_to_Italy         0.570935 0.003244 0.046286 0.56384  0.493757 0.668054 198964.8 203.5786 0.569122
migrationRateSMi2_Hubei-China_to_OtherEuropean 0.571112 0.003243 0.046274 0.56402  0.493951 0.668204 198968.6 203.5747 0.5693  
migrationRateSMi2_Hubei-China_to_Spain         0.570956 0.003244 0.046285 0.563861 0.493779 0.668071 198965.2 203.5782 0.569142
migrationRateSMi2_Italy_to_France              0.626633 0.002963 0.042149 0.620416 0.555469 0.714574 200103.7 202.4200 0.625254
migrationRateSMi2_Italy_to_Germany             0.642293 0.002875 0.040866 0.636328 0.573067 0.727427 200403.3 202.1173 0.641026
migrationRateSMi2_Italy_to_Hubei-China         0.571335 0.003242 0.046259 0.564246 0.494195 0.668392 198973.5 203.5697 0.569525
migrationRateSMi2_Italy_to_OtherEuropean       0.793933 0.001843 0.026038 0.790481 0.748581 0.847451 202887.5 199.6426 0.793511
migrationRateSMi2_Italy_to_Spain               0.640967 0.002882 0.040977 0.634981 0.571573 0.726343 200378.3 202.1426 0.639691
migrationRateSMi2_OtherEuropean_to_France      0.632219 0.002932 0.041697 0.626092 0.561734 0.719169 200211.6 202.3108 0.630881
migrationRateSMi2_OtherEuropean_to_Germany     0.663278 0.002751 0.039069 0.657654 0.596813 0.744507 200790.3 201.7277 0.662154
migrationRateSMi2_OtherEuropean_to_Hubei-China 0.573962 0.00323  0.046079 0.566913 0.497074 0.670615 199030.6 203.5114 0.572173
migrationRateSMi2_OtherEuropean_to_Italy       0.590064 0.003153 0.044942 0.583267 0.514793 0.684177 199364.7 203.1703 0.588406
migrationRateSMi2_OtherEuropean_to_Spain       0.673922 0.002686 0.038125 0.668472 0.608927 0.753108 200980.6 201.5367 0.672868
migrationRateSMi2_Spain_to_France              0.891495 0.001027 0.014467 0.889685 0.865919 0.921004 204178.9 198.3798 0.891378
migrationRateSMi2_Spain_to_Germany             1.493612 0.005941 0.082629 1.501175 1.325846 1.643003 209369.6 193.4616 1.491284
